20,代表者の生年月日,・代表者様の生年月日が未記載または記載に誤りがあると思われます。「変更なし」か「変更あり」のいずれか片方をご選択いただき、\n「変更あり」の場合のみ新しい代表差様の生年月日を回答欄に西暦の数字8桁での記載をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
21,代表者の役職,・代表者様の役職名について、「変更なし」か「変更あり」のいずれか片方をご選択いただき、\n「変更あり」の場合のみ新しい代表者様の役職名を回答欄に記載をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
22,代表者の国籍,・代表者様の国籍が未記載または記載に誤りがあると思われます。「変更なし」か「変更あり」のいずれか片方をご選択いただき、\n「変更あり」の場合のみ新しい代表者様の国籍を回答欄に記載をお願いいたします。誤って記入された場合は二重線で取消しをお願いします。
23,実質的支配者1の漢字氏名,・実質支配者①の漢字氏名が未記載または不足があると思われます。回答欄にフルネームでの記載をお願いいたします。
24,実質的支配者1のカナ氏名,・実質支配者①のカナ氏名が未記載または記載に誤りがあると思われます。回答欄に記載をお願いいたします。
25,実質的支配者1の生年月日,・実質支配者①の生年月日が未記載または記載に誤りがあると思われます。回答欄に西暦の数字8桁での記載をお願いいたします。
26,実質的支配者1の団体との関係,・実質支配者①の団体との関係が未選択または複数の選択があります。回答欄に回答欄に１つのみ選択をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
27,実質的支配者1の職業・事業内容,・実質支配者①の職業事業内容が未選択または複数の選択があります。回答欄に回答欄に１つのみ選択をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
28,実質的支配者1の国籍,・実質支配者①の国籍の記載がございませんでした。回答欄に記載をお願いいたします。
29,実質的支配者2の漢字氏名,・実質支配者②の漢字氏名が未記載または不足があると思われます。回答欄にフルネームでの記載をお願いいたします。
30,実質的支配者2のカナ氏名,・実質支配者②のカナ氏名が未記載または記載に誤りがあると思われます。回答欄に記載をお願いいたします。
31,実質的支配者2の生年月日,・実質支配者②の生年月日が未記載または記載に誤りがあると思われます。回答欄に西暦の数字8桁での記載をお願いいたします。
32,実質的支配者2の団体との関係,・実質支配者②の団体との関係が未選択または複数の選択があります。回答欄に回答欄に１つのみ選択をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
33,実質的支配者2の職業・事業内容,・実質支配者②の職業事業内容が未選択または複数の選択があります。回答欄に回答欄に１つのみ選択をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
34,実質的支配者2の国籍,・実質支配者②の国籍の記載がございませんでした。回答欄に記載をお願いいたします。
35,実質的支配者3の漢字氏名,・実質支配者③の漢字氏名が未記載または不足があると思われます。回答欄にフルネームでの記載をお願いいたします。
36,実質的支配者3のカナ氏名,・実質支配者③のカナ氏名が未記載または記載に誤りがあると思われます。回答欄に記載をお願いいたします。
37,実質的支配者3の生年月日,・実質支配者③の生年月日が未記載または記載に誤りがあると思われます。回答欄に西暦の数字8桁での記載をお願いいたします。
38,実質的支配者3の団体との関係,・実質支配者③の団体との関係が未選択または複数の選択があります。回答欄に回答欄に１つのみ選択をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
39,実質的支配者3の職業・事業内容,・実質支配者③の職業事業内容が未選択または複数の選択があります。回答欄に回答欄に１つのみ選択をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
40,実質的支配者2の国籍,・実質支配者③の国籍の記載がございませんでした。回答欄に記載をお願いいたします。
41,取引担当者の漢字氏名,・取引担当者の漢字氏名が未記載または記載に誤りがあると思われます。回答欄に記載をお願いいたします。
42,取引担当者の電話番号,・取引担当者の電話番号の記載がない、または記載に誤りがあると思われます。回答欄に数字10桁または11桁での記載をお願いいたします。
